chembl_id,pchembl_value,canonical_smiles,scaffolds_csk
85,CHEMBL182883,7.96,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C[C@@H](O)C[C@@H](O)CC(=O)O)cc3)C[C@@]21C,C1CCC(C2CC3CCCC3C3CCC4CCCCC4C23)CC1
86,CHEMBL362988,8.51,C[C@@H]1C[C@H](C)O[C@@]2(CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O1,C1CCC(C2CCC3CC4C(CCC45CCCCC5)CC32)CC1
87,CHEMBL364511,7.55,CC1(C)COC2(CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)OC1,C1CCC(C2CCC3CC4C(CCC45CCCCC5)CC32)CC1
88,CHEMBL182961,8.14,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C[C@@H]4C[C@@H](O)CC(=O)O4)cc3)C[C@@]21C,C1CCC(CCC2CCC(C3CC4CCCC4C4CCC5CCCCC5C34)CC2)CC1
89,CHEMBL195654,8.66,C[C@@H]1CC(C)(C)O[C@]2(CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O1,C1CCC(C2CCC3CC4C(CCC45CCCCC5)CC32)CC1
90,CHEMBL195967,8.68,C[C@@H]1CC(C)(C)O[C@@]2(CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O1,C1CCC(C2CCC3CC4C(CCC45CCCCC5)CC32)CC1
91,CHEMBL194013,8.24,C=C[C@@H]1CO[C@]2(CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O1,C1CCC(C2CCC3CC4C(CCC45CCCC5)CC32)CC1
92,CHEMBL196232,8.07,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CC[C@]21OC[C@@H](c2ccccc2)O1,C1CCC(C2CCC3(CCC4CC5C(CCC5C5CCCCC5)CC43)C2)CC1
93,CHEMBL194059,8.25,C=C[C@H]1CO[C@]2(CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O1,C1CCC(C2CCC3CC4C(CCC45CCCC5)CC32)CC1
94,CHEMBL365821,7.92,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CC[C@]21OC[C@H](c2ccccc2)O1,C1CCC(C2CCC3(CCC4CC5C(CCC5C5CCCCC5)CC43)C2)CC1
95,CHEMBL193704,7.42,C=C[C@@H]1CO[C@@]2(CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O1,C1CCC(C2CCC3CC4C(CCC45CCCC5)CC32)CC1
96,CHEMBL195524,7.58,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CC[C@@]21OC[C@@H](c2ccccc2)O1,C1CCC(C2CCC3(CCC4CC5C(CCC5C5CCCCC5)CC43)C2)CC1
97,CHEMBL364031,7.31,C=C[C@H]1CO[C@@]2(CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O1,C1CCC(C2CCC3CC4C(CCC45CCCC5)CC32)CC1
98,CHEMBL194114,7.19,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CC[C@@]21OC[C@H](c2ccccc2)O1,C1CCC(C2CCC3(CCC4CC5C(CCC5C5CCCCC5)CC43)C2)CC1
99,CHEMBL361245,9.05,CC(=O)O[C@]1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)[C@@H]5CC5[C@]4(C)C3CC[C@@]21C,C1CC2CCC3C(CCC4CCC5CC5C43)C2C1
100,CHEMBL263506,7.03,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccc(Oc2ccccc2)cc1)Cc1cccc(CCCC(=O)NCCO[C@H]2CC[C@@]3(C)[C@@H](C2)C[C@@H](O)[C@@H]2[C@@H]3C[C@H](O)[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]23)c1,C(CCCCC1CCC2C(CCC3C4CCCC4CCC23)C1)CCCC1CCCC(CC(CC2CCC(CC3CCCCC3)CC2)C2CCCCC2)C1
101,CHEMBL268220,7.3,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(Oc2ccc(CCCC(=O)NCCO[C@H]3CC[C@@]4(C)[C@@H](C3)C[C@@H](O)[C@@H]3[C@@H]4C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]34)cc2)cc1,C(CCCCC1CCC2C(CCC3C4CCCC4CCC23)C1)CCCC1CCC(CC2CCC(CC(CC3CCCCC3)C3CCCCC3)CC2)CC1
102,CHEMBL359515,7.879999999999999,COCCOc1cccc(Oc2ccc(CN(Cc3ccccc3)c3cccc(NS(C)(=O)=O)c3C)cc2)c1,C1CCC(CC2CCC(CC(CC3CCCCC3)C3CCCCC3)CC2)CC1
103,CHEMBL185524,8.54,CC(=O)NCCOc1cccc(Oc2ccc(CN(Cc3ccccc3)c3cccc(NS(C)(=O)=O)c3C)cc2)c1,C1CCC(CC2CCC(CC(CC3CCCCC3)C3CCCCC3)CC2)CC1
104,CHEMBL183914,8.82,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(Oc2ccc(CCCC(=O)NCCC(=O)O)cc2)cc1,C1CCC(CC2CCC(CC(CC3CCCCC3)C3CCCCC3)CC2)CC1
105,CHEMBL182464,8.19,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(Oc2cccc(CCNC(=O)CCCC(=O)O)c2)cc1,C1CCC(CC2CCC(CC(CC3CCCCC3)C3CCCCC3)CC2)CC1
106,CHEMBL313062,8.72,COc1cc([C@H](O)[C@H]2CCCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)cc(F)c1F,C1CCC(CC2CCCC3CC4C(CCC4C4CCCCC4)CC23)CC1
107,CHEMBL310570,9.1,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@](C)(O)c1ccsc1,C1CCC(C2CCC3CC4C(CC5CCCC5)CCCC4CC32)CC1
108,CHEMBL371376,8.54,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@@H](O)c1ccoc1,C1CCC(C2CCC3CC4C(CC5CCCC5)CCCC4CC32)CC1
109,CHEMBL196347,8.15,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@@H](O)c1cccs1,C1CCC(C2CCC3CC4C(CC5CCCC5)CCCC4CC32)CC1
110,CHEMBL194077,7.99,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@@H](O)c1cc(Cl)sc1Cl,C1CCC(C2CCC3CC4C(CC5CCCC5)CCCC4CC32)CC1
111,CHEMBL193404,8.12,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@@H](O)c1ccc(Cl)s1,C1CCC(C2CCC3CC4C(CC5CCCC5)CCCC4CC32)CC1
