chembl_id,pchembl_value,stand_value,canonical_smiles,scaffolds_csk
92,CHEMBL9631,5.72,1900.0,C=C(C)C(=O)Oc1ccc(C(=O)c2ccccc2)cc1,C1CCC(CC2CCCCC2)CC1
93,CHEMBL3301638,4.39,41000.0,CCCCN(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)N[C@@H](C)c1ccccc1,C(CCCC1CCC(CCC2CCCCC2)C1)CCC1CCCCC1
94,CHEMBL73644,5.7,2000.0,CC1(C)[C@H](C(=O)OCc2ccccc2)N2C(=O)[C@@H](NC(=O)C(F)(F)F)[C@H]2S1(=O)=O,C1CCC(CCCC2CCC3CCC23)CC1
95,CHEMBL295221,5.02,9500.0,CCOc1ccccc1C(=O)N[C@]1(OC)C(=O)N2C(C(=O)OCc3ccc(C(=O)O)cc3)=C(CSc3nnnn3C)CO[C@@H]21,C1CCC(CCCC2C(CCC3CCCC3)CCC3C(CCC4CCCCC4)CC23)CC1
96,CHEMBL311340,4.4,40000.0,CCCO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS(=O)(=O)[C@H]12,C1CCC2CCC2C1
97,CHEMBL76333,5.3,5000.0,CO[C@H]1C(=O)N2[C@@H](C(=O)OCc3ccccc3)C(C)(C)S(=O)(=O)[C@H]12,C1CCC(CCCC2CCC3CCC23)CC1
98,CHEMBL2115202,5.4,4000.0,CO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)C[S@+]([O-])[C@H]12,C1CCC2CCC2C1
99,CHEMBL73833,4.92,12000.0,CC1(C)S[C@@H]2[C@H](NC(=O)C(F)(F)F)C(=O)N2[C@H]1C(=O)OCc1ccccc1,C1CCC(CCCC2CCC3CCC23)CC1
100,CHEMBL83046,5.0,10000.0,CO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS[C@H]12,C1CCC2CCC2C1
101,CHEMBL313991,5.3,5000.0,CO[C@H]1C(=O)N2C(C(=O)NCc3ccccc3)=C(COC(C)=O)CS(=O)(=O)[C@H]12,C1CCC(CCCC2CCCC3CCC23)CC1
102,CHEMBL307509,5.4,4000.0,CC1(C)[C@H](C(=O)OCc2ccccc2)N2C(=O)[C@H](OC(=O)Cc3ccccc3)[C@H]2S1(=O)=O,C1CCC(CCCC2CC3C(CCCC4CCCCC4)CCC23)CC1
103,CHEMBL85352,4.4,40000.0,CCCC[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS(=O)(=O)[C@H]12,C1CCC2CCC2C1
104,CHEMBL75519,5.4,4000.0,CO[C@H]1C(=O)N2[C@@H](C(=O)OCC(F)(F)F)C(C)(C)S(=O)(=O)[C@H]12,C1CC2CCC2C1
105,CHEMBL75506,5.0,10000.0,CC(=O)O[C@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)OCc1ccccc1,C1CCC(CCCC2CCC3CCC23)CC1
106,CHEMBL83687,5.52,3000.0,CCO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS(=O)(=O)[C@H]12,C1CCC2CCC2C1
107,CHEMBL307225,5.3,5000.0,CC(=O)O[C@H]1C(=O)N2[C@@H](C(=O)OCc3ccccc3)C(C)(C)[S+]([O-])[C@@H]12,C1CCC(CCCC2CCC3CCC23)CC1
108,CHEMBL82320,5.3,5000.0,CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@H](OCCc3ccccc3)[C@H]2S(=O)(=O)C1,C1CCC(CCCC2CC3CCCCC32)CC1
109,CHEMBL85874,5.0,10000.0,CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@H](OC=O)[C@H]2SC1,C1CCC2CCC2C1
110,CHEMBL74648,4.7,20000.0,CC(O)[C@H]1C(=O)N2[C@@H](C(=O)OCc3ccccc3)C(C)(C)S(=O)(=O)[C@H]12,C1CCC(CCCC2CCC3CCC23)CC1
111,CHEMBL306927,5.4,4000.0,CC1(C)S[C@@H]2[C@@H](NC(=O)C(F)(F)F)C(=O)N2[C@H]1C(=O)OCc1ccccc1,C1CCC(CCCC2CCC3CCC23)CC1
112,CHEMBL84442,4.52,30000.0,CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@H](OC(C)C)[C@H]2S(=O)(=O)C1,C1CCC2CCC2C1
113,CHEMBL82588,5.4,4000.0,COC(=O)N[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS(=O)(=O)[C@H]12,C1CCC2CCC2C1
114,CHEMBL72250,5.05,9000.0,CO[C@@]1(NC(=O)C(F)(F)F)C(=O)N2[C@@H](C(=O)OCc3ccccc3)C(C)(C)S(=O)(=O)[C@@H]21,C1CCC(CCCC2CCC3CCC23)CC1
115,CHEMBL313299,5.4,4000.0,CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@H](NC=O)[C@H]2S(=O)(=O)C1,C1CCC2CCC2C1
116,CHEMBL84768,5.22,6000.0,CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@H](OC(C)=O)[C@H]2S(=O)(=O)C1,C1CCC2CCC2C1
117,CHEMBL85843,5.7,2000.0,CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@H](Cl)[C@H]2SC1,C1CCC2CCC2C1
118,CHEMBL85092,5.4,4000.0,O=C(OCc1ccccc1)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,C1CCC(CCCC2CCC3CCC23)CC1
119,CHEMBL85914,4.4,40000.0,CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@H](OC(C)=O)[C@H]2SC1,C1CCC2CCC2C1
120,CHEMBL76471,5.52,3000.0,CC[C@@]1(NC(=O)C(F)(F)F)C(=O)N2[C@@H](C(=O)OCc3ccccc3)C(C)(C)S(=O)(=O)[C@@H]21,C1CCC(CCCC2CCC3CCC23)CC1
121,CHEMBL76180,5.52,3000.0,O=C(OCc1ccccc1)C1=C(c2ccccc2)S[C@@H]2CC(=O)N12,C1CCC(CCCC2C3CCC3CC2C2CCCCC2)CC1
122,CHEMBL430994,4.7,20000.0,O=C(OCc1ccccc1)C1=C(Cc2ccccc2)S[C@@H]2CC(=O)N12,C1CCC(CCCC2C(CC3CCCCC3)CC3CCC32)CC1
123,CHEMBL310574,4.55,28000.0,CCC(C)O[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS(=O)(=O)[C@H]12,C1CCC2CCC2C1
124,CHEMBL308313,5.4,4000.0,CC1(C)[C@H](C(=O)OCc2ccccc2)N2C(=O)[C@H](OCc3ccccc3)[C@H]2S1(=O)=O,C1CCC(CCCC2CCC3C(CCC4CCCCC4)CC23)CC1
125,CHEMBL421718,5.0,10000.0,CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@H](OC(=O)Cc3ccccc3)[C@H]2S(=O)(=O)C1,C1CCC(CCCC2CC3CCCCC32)CC1
126,CHEMBL2115520,5.16,7000.0,C[C@H](OC(=O)NCc1ccccc1)[C@H]1C(=O)N2[C@@H](C(=O)OCc3ccccc3)C(C)(C)S(=O)(=O)[C@H]12,C1CCC(CCCCCC2CC3C(CCCC4CCCCC4)CCC23)CC1
127,CHEMBL431591,4.4,40000.0,CCO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)C[S+]([O-])[C@H]12,C1CCC2CCC2C1
128,CHEMBL315626,4.44,36000.0,CCC(=O)O[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS[C@H]12,C1CCC2CCC2C1
129,CHEMBL310781,4.62,24000.0,CCC[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS(=O)(=O)[C@H]12,C1CCC2CCC2C1
130,CHEMBL74947,5.4,4000.0,CC1(C)[C@H](C(=O)OCc2ccccc2)N2C(=O)[C@H](COC(=O)NCc3ccccc3)[C@H]2S1(=O)=O,C1CCC(CCCCCC2CC3C(CCCC4CCCCC4)CCC23)CC1
