molregno,stand_type,pchembl_value,stand_value,canonical_smiles,stand_inchi,chembl_id,tid,pref_name,scaffolds_csk,mfp
38,419525,IC50,7.59,23.0,C/C=C1\NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)CCCCC)[C@@H](C)OC(=O)[C@H](C(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H](Cc2ccccc2)N2C(=O)[C@H](CC[C@H]2O)NC1=O,DZIGKKCSWPSVIO-SWEGFNRNSA-N,CHEMBL398726,235,Leukocyte elastase ,C1CCCCCCC2CCCC(C2)C(CC2CCCCC2)CCC(CC2CCCCC2)CCCCC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9900>
39,1166173,IC50,6.03,930.0,Cc1cccc(C(=O)n2nc(C(=O)Nc3ccccc3)c3ccccc32)c1,HQOZHIXUCOLRTC-UHFFFAOYSA-N,CHEMBL1808478,235,Leukocyte elastase ,C1CCC(CCC2CC(CC3CCCCC3)C3CCCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9970>
40,2247932,IC50,8.72,1.9,CC[S+]([O-])c1cc(C#N)ccc1[C@@H]1C2=C(CCC2=O)N(c2cccc(C(F)(F)F)c2)C(=O)N1C,ABWOANZOKUMITI-PVFJFFHYSA-N,CHEMBL4108581,235,Leukocyte elastase ,C1CCC(C2CCC(C3CCCCC3)C3CCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d99e0>
41,2147142,IC50,8.92,1.2,CN1C(=O)N(c2cccc(C(F)(F)F)c2)C2=C(C(=O)CCC2)C1c1ccc(C#N)cc1-c1ccn(C)c(=O)c1,GLZQCGGYXDYPPN-UHFFFAOYSA-N,CHEMBL3937771,235,Leukocyte elastase ,C1CCC(C2CCC(C3CCCCC3C3CCCCC3)C3CCCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9a50>
42,2030305,IC50,7.1,80.0,CC(C)(C)C(=O)Oc1ccc(S(=O)(=O)Nc2ccccc2/C=N/O)cc1,OXSUHSQWSLABCN-XDHOZWIPSA-N,CHEMBL3697035,235,Leukocyte elastase ,C1CCC(CCC2CCCCC2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9ac0>
43,2156824,IC50,8.43,3.7,Cc1c(-c2cccc(C(F)F)c2)c(=O)c(C(=O)NCc2ccc(S(C)(=O)=NC#N)cc2)cn1-c1ccccc1,IHFMBDIFKZQTNB-UHFFFAOYSA-N,CHEMBL3947453,235,Leukocyte elastase ,C1CCC(CCCC2CC(C3CCCCC3)CC(C3CCCCC3)C2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9b30>
44,2251584,IC50,8.0,10.0,CC[C@@H](C)n1cc(C(=O)NCc2ccc(S(C)(=O)=O)cn2)c(=O)c(-c2cccc(C(F)F)c2)c1C,QSNJBSCZHGQPTQ-OAHLLOKOSA-N,CHEMBL4112233,235,Leukocyte elastase ,C1CCC(CCCC2CCCC(C3CCCCC3)C2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9ba0>
45,6704,IC50,6.21,620.0,CC(C)(C)C(=O)Oc1ccc(C(=O)c2ccccc2)cc1,RAOLSHQMKGXNFP-UHFFFAOYSA-N,CHEMBL10258,235,Leukocyte elastase ,C1CCC(CC2CCCCC2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9c10>
46,2147268,IC50,9.0,1.0,CC(=O)C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=O)N(C)C1c1ccc(C#N)cc1C(=O)NC12CC(C1)C2,SMNVGVBMJQXUPA-UHFFFAOYSA-N,CHEMBL3937897,235,Leukocyte elastase ,C1CCC(C2CCC(C3CCCCC3CCC34CC(C3)C4)CC2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9c80>
47,1992798,IC50,8.19,6.5,CCOC(=O)C1=C(C)N(c2cccc(C(F)(F)F)c2)c2nccn2[C@@H]1c1ccc(C#N)cc1,JHIVXCHUXFMPOR-OAQYLSRUSA-N,CHEMBL3659904,235,Leukocyte elastase ,C1CCC(C2CCC(C3CCCCC3)C3CCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9cf0>
48,2163928,IC50,8.96,1.1,CCOC(=O)C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=O)N(C)C1c1ccc(C#N)cc1C(=O)NCCS(C)(=O)=O,RPKJASZMQSDCBG-UHFFFAOYSA-N,CHEMBL3954557,235,Leukocyte elastase ,C1CCC(C2CCC(C3CCCCC3)CC2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9d60>
49,2120156,IC50,9.0,1.0,Cc1c(-c2cccc(C(F)(F)F)c2)c(=O)c(C(=O)NCc2ccc(S(=O)(=NC#N)C(C)C)cc2)cn1-c1ccnn1C,FKAAJPMCDFLCIR-UHFFFAOYSA-N,CHEMBL3910785,235,Leukocyte elastase ,C1CCC(CCCC2CC(C3CCCCC3)CC(C3CCCC3)C2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9dd0>
50,2175752,IC50,8.89,1.3,CN(Cc1ccn(C)n1)C(=O)c1cc(C#N)ccc1C1C2=C(CCC2=O)N(c2cccc(C(F)(F)F)c2)C(=O)N1C,QSHUSBWBSWOHGK-UHFFFAOYSA-N,CHEMBL3966381,235,Leukocyte elastase ,C1CCC(C2CCC(C3CCCCC3CCCC3CCCC3)C3CCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9e40>
51,2132166,IC50,8.85,1.4,CNCCN(C)C(=O)c1cc(C#N)ccc1C1C2=C(CCC2=O)N(c2cccc(C(F)(F)F)c2)C(=O)N1C,ZCGXEGKFDGFWMF-UHFFFAOYSA-N,CHEMBL3922795,235,Leukocyte elastase ,C1CCC(C2CCC(C3CCCCC3)C3CCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9eb0>
52,2120586,IC50,7.24,57.0,CCn1cc(C(=O)NCc2ccc(S(C)(=O)=O)cn2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1C,PCNMTDLGMISDBR-UHFFFAOYSA-N,CHEMBL3911215,235,Leukocyte elastase ,C1CCC(CCCC2CCCC(C3CCCCC3)C2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9f20>
53,2110280,IC50,8.47,3.4,CN1C(=O)N(c2cccc(C(F)(F)F)c2)C2=C(C(=O)CC2)C1c1ccc(C#N)cc1C(=O)NC(C)(C)C#N,ZLMHUVLHGXLJBZ-UHFFFAOYSA-N,CHEMBL3900909,235,Leukocyte elastase ,C1CCC(C2CCC(C3CCCCC3)C3CCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9f90>
54,136662,IC50,6.37,430.0,CO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(CCl)CS(=O)(=O)C12,BSHHBVCILYRRFB-FTNKSUMCSA-N,CHEMBL85935,235,Leukocyte elastase ,C1CCC2CCC2C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7fc040>
55,2191497,IC50,8.24,5.7,CN1C(=O)N(c2cccc(C(F)(F)F)c2)C2=C(C(=O)CCC2)C1c1ccc(C#N)cc1-c1ccco1,WULXEYAOXXAEPC-UHFFFAOYSA-N,CHEMBL3982126,235,Leukocyte elastase ,C1CCC(C2CCC(C3CCCCC3C3CCCC3)C3CCCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7fc0b0>
56,2159681,IC50,7.66,22.0,CN=S(=O)(c1ccc(CNC(=O)c2cn(C(C)C)c(C)c(-c3cccc(C(F)(F)F)c3)c2=O)cc1)N(C)C,WJLCQUDEYSYVRA-UHFFFAOYSA-N,CHEMBL3950310,235,Leukocyte elastase ,C1CCC(CCCC2CCCC(C3CCCCC3)C2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7fc120>
57,2251736,IC50,8.59,2.6,CS(=O)(=O)c1cc(C#N)ccc1[C@H]1NC(=O)N(c2cccc(C(F)(F)F)c2)C2=C1C(=O)CC2,PIQAOEDOJPUANY-HXUWFJFHSA-N,CHEMBL4112385,235,Leukocyte elastase ,C1CCC(C2CCC(C3CCCCC3)C3CCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7fc190>
58,2133720,IC50,7.8,15.8,COCCNC(=O)CN1C(=O)N(c2cccc(C(F)(F)F)c2)C2=C(C(=O)CC2)C1c1ccc(C#N)cc1,QMAXWHCGRPBMKC-UHFFFAOYSA-N,CHEMBL3924349,235,Leukocyte elastase ,C1CCC(C2CCC(C3CCCCC3)C3CCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7fc200>
59,2133870,IC50,8.32,4.8,CCOC(=O)C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=O)N(C)C1c1ccc(C#N)cc1C(=O)N1CCC(N)CC1,UFHIMCVYAFYDDM-UHFFFAOYSA-N,CHEMBL3924499,235,Leukocyte elastase ,C1CCC(CC2CCCCC2C2CCC(C3CCCCC3)CC2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7fc270>
60,179777,IC50,7.7,20.0,CC[C@H](NC(=O)[C@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(C)C)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,WPOOMCSSVQWZRO-RCXOJNRVSA-N,CHEMBL419918,235,Leukocyte elastase ,C1CCC(CCCC2CC3CC4CC(C4)C3C2)C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7fc2e0>
61,2165110,IC50,7.75,18.0,Cc1c(-c2cccc(C(F)F)c2)c(=O)c(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cn1C1CCCC1,ILJGRSQVKHBVAD-UHFFFAOYSA-N,CHEMBL3955739,235,Leukocyte elastase ,C1CCC(CCCC2CC(C3CCCCC3)CC(C3CCCC3)C2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7fc350>
62,1829875,IC50,7.3,50.0,C/C(=N/O)c1ccccc1NS(=O)(=O)c1ccc(OC(=O)C(C)(C)C)cc1,MSIGLHAWDSGRGI-MOSHPQCFSA-N,CHEMBL3398148,235,Leukocyte elastase ,C1CCC(CCC2CCCCC2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7fc3c0>
